code,term,term_clean,semantic_tag
39288006,Purulent otitis media (disorder),Purulent otitis media,disorder
39290007,Barium (substance),Barium,substance
39322007,Trochlear nerve structure (body structure),Trochlear nerve structure,body structure
39335003,Closed fracture of four ribs (disorder),Closed fracture of four ribs,disorder
39343008,Administration of vaccine product containing only Bordetella pertussis antigen (procedure),Administration of vaccine product containing only Bordetella pertussis antigen,procedure
39350007,Private physicians' group office (environment),Private physicians' group office,environment
39352004,Joint structure (body structure),Joint structure,body structure
39379000,Forcible sexual assault (event),Forcible sexual assault,event
39402007,Pelvic congestion syndrome (disorder),Pelvic congestion syndrome,disorder
39419009,Hypovolemic shock (disorder),Hypovolemic shock,disorder
39423001,Stuttering (finding),Stuttering,finding
39446004,Female infertility of tubal origin (disorder),Female infertility of tubal origin,disorder
39450006,Senile cataract (disorder),Senile cataract,disorder
39462005,Thyroglossal duct cyst (disorder),Thyroglossal duct cyst,disorder
39477002,Feces (substance),Feces,substance
39479004,Telogen effluvium (disorder),Telogen effluvium,disorder
39481002,Upper dental arch structure (body structure),Upper dental arch structure,body structure
39491008,Altered sexuality patterns (finding),Altered sexuality patterns,finding
39525005,Tumor necrosis factor alpha (substance),Tumor necrosis factor alpha,substance
39526006,Redundant prepuce (disorder),Redundant prepuce,disorder
39539005,Abnormal renal function (finding),Abnormal renal function,finding
39543009,Administration of insulin (procedure),Administration of insulin,procedure
39545002,Low cholesterol-low saturated fat diet (finding),Low cholesterol-low saturated fat diet,finding
39575007,Urine looks dark (finding),Urine looks dark,finding
39579001,Anaphylaxis (disorder),Anaphylaxis,disorder
39607008,Lung structure (body structure),Lung structure,body structure
39621005,Disorder of gallbladder (disorder),Disorder of gallbladder,disorder
39623008,At increased risk for poisoning injury (finding),At increased risk for poisoning injury,finding
39629007,Pyogenic granuloma of skin (disorder),Pyogenic granuloma of skin,disorder
39677007,Internal medicine specialist (occupation),Internal medicine specialist,occupation
39687006,Skin structure of inguinal region (body structure),Skin structure of inguinal region,body structure
39723000,Sacroiliac joint structure (body structure),Sacroiliac joint structure,body structure
39727004,Hypertension secondary to renal disease complicating AND/OR reason for care during puerperium (disorder),Hypertension secondary to renal disease complicating AND/OR reason for care during puerperium,disorder
39739007,Legionella jordanis (organism),Legionella jordanis,organism
39743006,Structure of anterior segment of right upper lobe of lung (body structure),Structure of anterior segment of right upper lobe of lung,body structure
39764005,Bantu (ethnic group),Bantu,ethnic group
39772007,Rectal polyp (disorder),Rectal polyp,disorder
39777001,Sudan III stain (substance),Sudan III stain,substance
39790008,"Non-electric heating pad, device (physical object)","Non-electric heating pad, device",physical object
39812007,Contusion of forearm (disorder),Contusion of forearm,disorder
39823006,Generalized atherosclerosis (disorder),Generalized atherosclerosis,disorder
39826003,Struck by explosion (event),Struck by explosion,event
39837002,Alternating esotropia (disorder),Alternating esotropia,disorder
39839004,Diaphragmatic hernia (disorder),Diaphragmatic hernia,disorder
39845007,Anterior colporrhaphy (procedure),Anterior colporrhaphy,procedure
39848009,Whiplash injury to neck (disorder),Whiplash injury to neck,disorder
39857003,Weighing patient (procedure),Weighing patient,procedure
39871006,Chronic respiratory failure (disorder),Chronic respiratory failure,disorder
39889007,Right occipitoanterior position (finding),Right occipitoanterior position,finding
39898005,Sleep disorder (disorder),Sleep disorder,disorder
39905002,Scimitar syndrome (disorder),Scimitar syndrome,disorder
39908000,Food exchange list (finding),Food exchange list,finding
39913001,Residential school infirmary (environment),Residential school infirmary,environment
39937001,Skin structure (body structure),Skin structure,body structure
39972003,Sodium (substance),Sodium,substance
39976000,Bone structure of axis (body structure),Bone structure of axis,body structure
39980005,Fat controlled diet (finding),Fat controlled diet,finding
40024006,Retinal defect (disorder),Retinal defect,disorder
40039007,"Vesicular stomatitis virus, Argentina (organism)","Vesicular stomatitis virus, Argentina",organism
40043006,Bottle feeding of patient (regime/therapy),Bottle feeding of patient,regime/therapy
40055000,Chronic sinusitis (disorder),Chronic sinusitis,disorder
40059006,Creation of aortofemoral shunt (procedure),Creation of aortofemoral shunt,procedure
40068008,Hydroureteronephrosis (disorder),Hydroureteronephrosis,disorder
40069000,Skin structure of lower eyelid (body structure),Skin structure of lower eyelid,body structure
40070004,Infection caused by Molluscum contagiosum (disorder),Infection caused by Molluscum contagiosum,disorder
40076005,Erie garnet stain (substance),Erie garnet stain,substance
40100001,Obliterative bronchiolitis (disorder),Obliterative bronchiolitis,disorder
40104005,Fall in home (event),Fall in home,event
40108008,Thalassemia (disorder),Thalassemia,disorder
40122008,Pneumoconiosis (disorder),Pneumoconiosis,disorder
40130009,Spina bifida without hydrocephalus (disorder),Spina bifida without hydrocephalus,disorder
40144003,Morning stiffness - joint (finding),Morning stiffness - joint,finding
40146001,Structure of cerebral cortex (body structure),Structure of cerebral cortex,body structure
40149008,Gonococcal keratitis (disorder),Gonococcal keratitis,disorder
40165009,Buriats (ethnic group),Buriats,ethnic group
40174006,Isolation procedure (procedure),Isolation procedure,procedure
40178009,Allergic urticaria (disorder),Allergic urticaria,disorder
40182006,Gypsies (ethnic group),Gypsies,ethnic group
40196000,Mild pain (finding),Mild pain,finding
40198004,Thrombophlebitis of deep veins of lower extremity (disorder),Thrombophlebitis of deep veins of lower extremity,disorder
40199007,Supine body position (finding),Supine body position,finding
40219000,Delivery by Malstrom's extraction with episiotomy (procedure),Delivery by Malstrom's extraction with episiotomy,procedure
40242007,Structure of lateral external iliac lymph node (body structure),Structure of lateral external iliac lymph node,body structure
40250003,Interatrial transposition of venous return (procedure),Interatrial transposition of venous return,procedure
40254007,Structure of digital artery of hand (body structure),Structure of digital artery of hand,body structure
40257000,Contusion of shoulder region (disorder),Contusion of shoulder region,disorder
40265002,Structure of arch of vertebra (body structure),Structure of arch of vertebra,body structure
40266001,Lobular (qualifier value),Lobular,qualifier value
40275004,Contact dermatitis (disorder),Contact dermatitis,disorder
40283005,Thrombophlebitis of superficial veins of lower extremity (disorder),Thrombophlebitis of superficial veins of lower extremity,disorder
40300007,Structure of internal iliac vein (body structure),Structure of internal iliac vein,body structure
40333002,Mycobacterium triviale (organism),Mycobacterium triviale,organism
40342009,Thiamylal sodium (substance),Thiamylal sodium,substance
40354009,De Lange syndrome (disorder),De Lange syndrome,disorder
40365004,Anesthesia for procedure on lumbosacral spinal cord (procedure),Anesthesia for procedure on lumbosacral spinal cord,procedure
40379007,Mild recurrent major depression (disorder),Mild recurrent major depression,disorder
40388003,"Implant, device (physical object)","Implant, device",physical object
40403005,Catheterization of right heart (procedure),Catheterization of right heart,procedure
40415009,Proximal (qualifier value),Proximal,qualifier value
40425004,Postconcussion syndrome (disorder),Postconcussion syndrome,disorder
40445007,Heart valve regurgitation (disorder),Heart valve regurgitation,disorder
40468003,"Viral hepatitis, type A (disorder)","Viral hepatitis, type A",disorder
40492006,Bladder dysfunction (finding),Bladder dysfunction,finding
40505001,Orthoptic training (regime/therapy),Orthoptic training,regime/therapy
40537000,Cold exposure (event),Cold exposure,event
40539002,Hypothyroidism following radioiodine therapy (disorder),Hypothyroidism following radioiodine therapy,disorder
40541001,Acute pulmonary edema (disorder),Acute pulmonary edema,disorder
40546006,"Sodium restricted diet, 90 milliequivalents (finding)","Sodium restricted diet, 90 milliequivalents",finding
40565003,Carbon-11 (substance),Carbon-11,substance
40568001,Recurrent brief depressive disorder (disorder),Recurrent brief depressive disorder,disorder
40608009,Hypertropia (disorder),Hypertropia,disorder
40614002,Campylobacter coli (organism),Campylobacter coli,organism
40617009,Artificial ventilation (regime/therapy),Artificial ventilation,regime/therapy
40631009,Skew deviation (disorder),Skew deviation,disorder
40638003,Structure of both eyes (body structure),Structure of both eyes,body structure
40650009,Obstruction of colon (disorder),Obstruction of colon,disorder
40654000,Operation on eyelid (procedure),Operation on eyelid,procedure
40684008,Structure of inferior gluteal lymph node (body structure),Structure of inferior gluteal lymph node,body structure
40689003,Testis structure (body structure),Testis structure,body structure
40700009,Severe intellectual disability (disorder),Severe intellectual disability,disorder
40701008,Echocardiography (procedure),Echocardiography,procedure
40710000,Iodopyracet (substance),Iodopyracet,substance
40713003,Mycobacterium ulcerans (organism),Mycobacterium ulcerans,organism
40718007,Fast red B salt stain (substance),Fast red B salt stain,substance
40719004,Erosive esophagitis (disorder),Erosive esophagitis,disorder
40725000,Muscular steatosis (disorder),Muscular steatosis,disorder
40733004,Infectious disease (disorder),Infectious disease,disorder
40739000,Dysphagia (disorder),Dysphagia,disorder
40740003,Genus Trypanosoma (organism),Genus Trypanosoma,organism
40754006,Puumala virus (organism),Puumala virus,organism
40772000,Fibrous plaque (morphologic abnormality),Fibrous plaque,morphologic abnormality
40779009,Discoid atelectasis (disorder),Discoid atelectasis,disorder
40791000,Preparation of disability evaluation report (procedure),Preparation of disability evaluation report,procedure
40799003,Subacromial bursitis (disorder),Subacromial bursitis,disorder
40807001,Brother-sister sex play (finding),Brother-sister sex play,finding
40808006,Oil red O stain (substance),Oil red O stain,substance
40835002,Coffee ground vomiting (disorder),Coffee ground vomiting,disorder
40845000,Gastrointestinal ulcer (disorder),Gastrointestinal ulcer,disorder
40862005,Local excision of skin and subcutaneous tissue (procedure),Local excision of skin and subcutaneous tissue,procedure
40867004,Structure of isthmus of thyroid gland (body structure),Structure of isthmus of thyroid gland,body structure
40886007,Klebsiella oxytoca (organism),Klebsiella oxytoca,organism
40890009,Esophageal dysphagia (disorder),Esophageal dysphagia,disorder
40908007,Intervertebral disc structure of first thoracic vertebra (body structure),Intervertebral disc structure of first thoracic vertebra,body structure
40915004,Orgasm impairment (finding),Orgasm impairment,finding
40917007,Clouded consciousness (finding),Clouded consciousness,finding
40923002,"Tissue processing technique, routine, embed, cut and stain, per surgical specimen (procedure)","Tissue processing technique, routine, embed, cut and stain, per surgical specimen",procedure
40926005,Moderate mixed bipolar I disorder (disorder),Moderate mixed bipolar I disorder,disorder
40930008,Hypothyroidism (disorder),Hypothyroidism,disorder
40937006,Iodine-124 (substance),Iodine-124,substance
40951006,"Primary hyperoxaluria, type II (disorder)","Primary hyperoxaluria, type II",disorder
40956001,Guillain-Barré syndrome (disorder),Guillain-Barré syndrome,disorder
40958000,Nerve root structure (body structure),Nerve root structure,body structure
40970001,Chronic osteomyelitis (disorder),Chronic osteomyelitis,disorder
40979000,Lack of exercise (finding),Lack of exercise,finding
40980002,Spastic paralysis due to birth injury (disorder),Spastic paralysis due to birth injury,disorder
40983000,Structure of upper extremity between shoulder and elbow (body structure),Structure of upper extremity between shoulder and elbow,body structure
40987004,Intermittent explosive disorder (disorder),Intermittent explosive disorder,disorder
41040004,Complete trisomy 21 syndrome (disorder),Complete trisomy 21 syndrome,disorder
41059002,Cesarean hysterectomy (procedure),Cesarean hysterectomy,procedure
41076003,Mozambiquans (ethnic group),Mozambiquans,ethnic group
41088001,Administration of vaccine product containing only Neisseria meningitidis antigen (procedure),Administration of vaccine product containing only Neisseria meningitidis antigen,procedure
41090000,Chlamydophila psittaci variant bovis (organism),Chlamydophila psittaci variant bovis,organism
41109008,South River virus (organism),South River virus,organism
41111004,Bone structure of shaft of femur (body structure),Bone structure of shaft of femur,body structure
41112006,150 milligram calcium diet (finding),150 milligram calcium diet,finding
41114007,Mild pre-eclampsia (disorder),Mild pre-eclampsia,disorder
41137001,Bicipital tenosynovitis (disorder),Bicipital tenosynovitis,disorder
41145006,Structure of lateral common iliac lymph node (body structure),Structure of lateral common iliac lymph node,body structure
41174002,Acute lymphadenitis (disorder),Acute lymphadenitis,disorder
41178004,Structure of sphincter ani muscle (body structure),Structure of sphincter ani muscle,body structure
41179007,Increased erection of penis (finding),Increased erection of penis,finding
41188003,Disorder of oral soft tissues (disorder),Disorder of oral soft tissues,disorder
41207000,Adenoviral pneumonia (disorder),Adenoviral pneumonia,disorder
41216001,Prostatic structure (body structure),Prostatic structure,body structure
41236000,Abnormal vital signs (finding),Abnormal vital signs,finding
41256004,Presbyopia (disorder),Presbyopia,disorder
41291007,Angioedema (disorder),Angioedema,disorder
41296002,Iris structure (body structure),Iris structure,body structure
41299009,Iatrogenic Cushing's disease (disorder),Iatrogenic Cushing's disease,disorder
41304005,Mycobacterium obuense (organism),Mycobacterium obuense,organism
41308008,Acute follicular conjunctivitis (disorder),Acute follicular conjunctivitis,disorder
41309000,Alcoholic liver damage (disorder),Alcoholic liver damage,disorder
41310005,Skin structure of upper eyelid (body structure),Skin structure of upper eyelid,body structure
41313007,Structure of internal intercostal muscle (body structure),Structure of internal intercostal muscle,body structure
41328007,"Dengue virus, type 2 (organism)","Dengue virus, type 2",organism
41334000,"Angina, class II (disorder)","Angina, class II",disorder
41339005,Coronary angioplasty (procedure),Coronary angioplasty,procedure
41345002,Rickets (disorder),Rickets,disorder
41366005,Subgingival dental calculus (disorder),Subgingival dental calculus,disorder
41381004,Pneumonia caused by Pseudomonas (disorder),Pneumonia caused by Pseudomonas,disorder
41411008,Fall from playground equipment (event),Fall from playground equipment,event
41440006,Radioisotope brain imaging (procedure),Radioisotope brain imaging,procedure
41446000,Blepharitis (disorder),Blepharitis,disorder
41449007,General diet (finding),General diet,finding
41453009,Strabismus surgery (procedure),Strabismus surgery,procedure
41497008,Febrile convulsion (finding),Febrile convulsion,finding
41501003,Threatening suicide (finding),Threatening suicide,finding
41510006,Anoxic seizure (finding),Anoxic seizure,finding
41524005,Flagellantism (disorder),Flagellantism,disorder
41549009,Product containing angiotensin-converting enzyme inhibitor (product),Product containing angiotensin-converting enzyme inhibitor,product
41550009,Skin structure of posterior surface of forearm (body structure),Skin structure of posterior surface of forearm,body structure
41554000,"Autopsy, gross and microscopic examination with brain and spinal cord (procedure)","Autopsy, gross and microscopic examination with brain and spinal cord",procedure
41565005,Periodontitis (disorder),Periodontitis,disorder
41581000,Muscular hypertonicity (disorder),Muscular hypertonicity,disorder
41582007,Streptococcal tonsillitis (disorder),Streptococcal tonsillitis,disorder
41587001,Third trimester pregnancy (finding),Third trimester pregnancy,finding
41601005,Structure of shaft of rib (body structure),Structure of shaft of rib,body structure
41608004,Closed fractures of tarsal AND metatarsal bones (disorder),Closed fractures of tarsal AND metatarsal bones,disorder
41633001,Intraocular pressure (observable entity),Intraocular pressure,observable entity
41652007,Pain in eye (finding),Pain in eye,finding
41663005,Disorder of pinna (disorder),Disorder of pinna,disorder
41695006,Scalp structure (body structure),Scalp structure,body structure
41699000,Effusion (morphologic abnormality),Effusion,morphologic abnormality
41704008,Borrelia parkeri (organism),Borrelia parkeri,organism
41729002,Horseshoe kidney (disorder),Horseshoe kidney,disorder
41750006,Brazilin stain (substance),Brazilin stain,substance
41758004,Ytterbium-169 (substance),Ytterbium-169,substance
41770000,"Autopsy, gross and microscopic examination (procedure)","Autopsy, gross and microscopic examination",procedure
41788008,Hereditary factor IX deficiency disease (disorder),Hereditary factor IX deficiency disease,disorder
41798002,Caroline Islanders (ethnic group),Caroline Islanders,ethnic group
41801008,Coronary artery structure (body structure),Coronary artery structure,body structure
41817002,Closure of patent foramen ovale (procedure),Closure of patent foramen ovale,procedure
41829006,Dietary finding (finding),Dietary finding,finding
41842006,Radioisotope study of hematopoietic system (procedure),Radioisotope study of hematopoietic system,procedure
41844007,Free-standing geriatric clinic (environment),Free-standing geriatric clinic,environment
41879009,Structure of distal portion of right coronary artery (body structure),Structure of distal portion of right coronary artery,body structure
41888000,Temporomandibular joint disorder (disorder),Temporomandibular joint disorder,disorder
41905003,Career choice problem (finding),Career choice problem,finding
41918006,External resorption of tooth (disorder),External resorption of tooth,disorder
41919003,Juvenile carcinoma of the breast (morphologic abnormality),Juvenile carcinoma of the breast,morphologic abnormality
41944006,Amputee (finding),Amputee,finding
41967008,Silver (substance),Silver,substance
41975002,Insomnia with sleep apnea (disorder),Insomnia with sleep apnea,disorder
41976001,Cardiac catheterization (procedure),Cardiac catheterization,procedure
41982003,Male climacteric (finding),Male climacteric,finding
42024000,Murine poliovirus (organism),Murine poliovirus,organism
42030000,Disorder of the genitourinary system (disorder),Disorder of the genitourinary system,disorder
42033003,Sterculia gum (substance),Sterculia gum,substance
42035005,Bisexual (finding),Bisexual,finding
42052009,Omphalitis of newborn (disorder),Omphalitis of newborn,disorder
42059000,Retinal detachment (disorder),Retinal detachment,disorder
42085001,Victim of rape (finding),Victim of rape,finding
42096009,Dental liquid diet (finding),Dental liquid diet,finding
42101009,Penetrating keratoplasty (procedure),Penetrating keratoplasty,procedure
42112009,Urinary incontinence of non-organic origin (finding),Urinary incontinence of non-organic origin,finding
42116007,Prolapse of vaginal vault after hysterectomy (disorder),Prolapse of vaginal vault after hysterectomy,disorder
42131003,Abnormal menstrual cycle (finding),Abnormal menstrual cycle,finding
42157000,Closed fracture of vertebral column (disorder),Closed fracture of vertebral column,disorder
42177007,Pulse slow (finding),Pulse slow,finding
42182000,Cystic medial necrosis (morphologic abnormality),Cystic medial necrosis,morphologic abnormality
42188001,Closed fracture of ankle (disorder),Closed fracture of ankle,disorder
42239005,Carbohydrate diet (finding),Carbohydrate diet,finding
42248000,Methyl orange stain (substance),Methyl orange stain,substance
42258001,Superior mesenteric artery structure (body structure),Superior mesenteric artery structure,body structure
42262007,Total shoulder replacement (procedure),Total shoulder replacement,procedure
42265009,Idiopathic urticaria (disorder),Idiopathic urticaria,disorder
42284007,Administration of vaccine product containing only live attenuated Mycobacterium bovis antigen (procedure),Administration of vaccine product containing only live attenuated Mycobacterium bovis antigen,procedure
42288005,Absence of ejaculation (finding),Absence of ejaculation,finding
42289002,Wired jaw diet (finding),Wired jaw diet,finding
42320003,Structure of left seminal vesicle (body structure),Structure of left seminal vesicle,body structure
42323001,Eruption cyst of jaw (disorder),Eruption cyst of jaw,disorder
42343007,Congestive heart failure (disorder),Congestive heart failure,disorder
42345000,Polyneuropathy (disorder),Polyneuropathy,disorder
42385006,Lactocele (disorder),Lactocele,disorder
42394000,Domestic nudity (finding),Domestic nudity,finding
42399005,Renal failure syndrome (disorder),Renal failure syndrome,disorder
42416001,Lanolin (substance),Lanolin,substance
42417005,Carbon (14-C) triolein (substance),Carbon (14-C) triolein,substance
42425007,Equivocal (qualifier value),Equivocal,qualifier value
42427004,At increased risk for suffocation (finding),At increased risk for suffocation,finding
42448002,Herpes zoster keratoconjunctivitis (disorder),Herpes zoster keratoconjunctivitis,disorder
42452002,Thoracic radiculopathy (disorder),Thoracic radiculopathy,disorder
42458003,Hemothorax due to trauma (disorder),Hemothorax due to trauma,disorder
42464005,p-phenylenediamine (substance),p-phenylenediamine,substance
42472007,Structure of medial external iliac lymph node (body structure),Structure of medial external iliac lymph node,body structure
42479003,Injury of buttock (disorder),Injury of buttock,disorder
42513006,Punctate keratitis (disorder),Punctate keratitis,disorder
42541005,Irritant gastritis (disorder),Irritant gastritis,disorder
42570001,Pruritus senilis (disorder),Pruritus senilis,disorder
42571002,Failed induction of labor (disorder),Failed induction of labor,disorder
42575006,Structure of pituitary fossa (body structure),Structure of pituitary fossa,body structure
42632009,Andamanese (ethnic group),Andamanese,ethnic group
42633004,"Bland diet, stage 1 (finding)","Bland diet, stage 1",finding
42636007,Closed fracture of upper end of humerus (disorder),Closed fracture of upper end of humerus,disorder
42643001,Disorder of urinary bladder (disorder),Disorder of urinary bladder,disorder
42644007,Basic coital position (finding),Basic coital position,finding
42653000,Calcification of pericardium (disorder),Calcification of pericardium,disorder
42655007,Complete bilateral paralysis of vocal cords (disorder),Complete bilateral paralysis of vocal cords,disorder
42658009,Disorder of the peripheral nervous system (disorder),Disorder of the peripheral nervous system,disorder
42665001,Nursing home (environment),Nursing home,environment
42681006,Islet cell hyperplasia (disorder),Islet cell hyperplasia,disorder
42695009,Thalamic structure (body structure),Thalamic structure,body structure
42700002,Round shape (qualifier value),Round shape,qualifier value
42711005,Necrosis of the pulp (disorder),Necrosis of the pulp,disorder
42712003,Cri du chat (finding),Cri du chat,finding
42728008,Indium (113-In) pentetate (substance),Indium (113-In) pentetate,substance
42737008,Masculinity (finding),Masculinity,finding
42746002,Gonorrhea of rectum (disorder),Gonorrhea of rectum,disorder
42752001,Due to (attribute),Due to,attribute
42770003,Syphilis of tricuspid valve (disorder),Syphilis of tricuspid valve,disorder
42786005,Snapping thumb syndrome (disorder),Snapping thumb syndrome,disorder
42798000,Area (qualifier value),Area,qualifier value
42800007,Fine tremor (finding),Fine tremor,finding
42810003,Major depression in remission (disorder),Major depression in remission,disorder
42818005,Closed fracture of navicular bone of wrist (disorder),Closed fracture of navicular bone of wrist,disorder
42861008,Thrombophlebitis of iliac vein (disorder),Thrombophlebitis of iliac vein,disorder
42932006,Structure of forceps minor (body structure),Structure of forceps minor,body structure
42937000,"Restoration, crown, single (procedure)","Restoration, crown, single",procedure
42942008,Compression fracture of vertebral column (disorder),Compression fracture of vertebral column,disorder
42954008,Diabetes mellitus associated with receptor abnormality (disorder),Diabetes mellitus associated with receptor abnormality,disorder
42973007,Structure of thoracic inlet (body structure),Structure of thoracic inlet,body structure
42982001,Sialoadenitis (disorder),Sialoadenitis,disorder
42984000,Night sweats (finding),Night sweats,finding
43005009,Shuffling gait (finding),Shuffling gait,finding
43019009,Nelson syndrome (disorder),Nelson syndrome,disorder
43029002,Abnormal posture (finding),Abnormal posture,finding
43038000,Cardiovascular examination and evaluation (procedure),Cardiovascular examination and evaluation,procedure
43045000,Lacrimal caruncle structure (body structure),Lacrimal caruncle structure,body structure
43056000,Cuna (ethnic group),Cuna,ethnic group
43064006,Hydronephrosis (disorder),Hydronephrosis,disorder
43067004,Skin structure of scalp (body structure),Skin structure of scalp,body structure
43068009,Motherhood (observable entity),Motherhood,observable entity
43075005,Partial resection of colon (procedure),Partial resection of colon,procedure
43077002,Cyst of epididymis (disorder),Cyst of epididymis,disorder
43081002,Skin structure of neck (body structure),Skin structure of neck,body structure
43084005,Adolescent unwed mother (finding),Adolescent unwed mother,finding
43091008,Listeria seeligeri (organism),Listeria seeligeri,organism
43100002,Late cortical cerebellar atrophy (disorder),Late cortical cerebellar atrophy,disorder
43105007,Choreoathetosis (disorder),Choreoathetosis,disorder
43106008,Pyronine G stain (substance),Pyronine G stain,substance
43116000,Eczema (disorder),Eczema,disorder
43119007,Structure of posterior communicating artery (body structure),Structure of posterior communicating artery,body structure
43141007,Inhibition of lactation procedure (procedure),Inhibition of lactation procedure,procedure
43144004,Cyst of jaw (disorder),Cyst of jaw,disorder
43150009,Panic disorder without agoraphobia with severe panic attacks (disorder),Panic disorder without agoraphobia with severe panic attacks,disorder
43153006,Myxedema (disorder),Myxedema,disorder
43199008,Vibrio fluvialis (organism),Vibrio fluvialis,organism
43201005,Amine (substance),Amine,substance
43230003,Rubber (substance),Rubber,substance
43239002,Selenium-75 (substance),Selenium-75,substance
43240000,Diarrhea of presumed infectious origin (disorder),Diarrhea of presumed infectious origin,disorder
43252007,"Cochlear prosthesis, device (physical object)","Cochlear prosthesis, device",physical object
43275000,Otitis (disorder),Otitis,disorder
43281008,Structure of deciduous mandibular left canine tooth (body structure),Structure of deciduous mandibular left canine tooth,body structure
43295006,Closed fracture of humerus (disorder),Closed fracture of humerus,disorder
43299000,Miliary aneurysm (morphologic abnormality),Miliary aneurysm,morphologic abnormality
43339004,Hypokalemia (disorder),Hypokalemia,disorder
43363007,Posterior uveitis (disorder),Posterior uveitis,disorder
43364001,Abdominal discomfort (finding),Abdominal discomfort,finding
43378000,Extrapyramidal sign (finding),Extrapyramidal sign,finding
43381005,Passive smoker (finding),Passive smoker,finding
43396009,Hemoglobin A1c measurement (procedure),Hemoglobin A1c measurement,procedure
43422002,Crushing injury of foot (disorder),Crushing injury of foot,disorder
43424001,Tetanus neonatorum (disorder),Tetanus neonatorum,disorder
43437003,Submucous cleft of hard palate (disorder),Submucous cleft of hard palate,disorder
43454006,Treponema pallidum ss. pallidum (organism),Treponema pallidum ss. pallidum,organism
43478001,Abdominal tenderness (finding),Abdominal tenderness,finding
43486001,Hemiplegic cerebral palsy (disorder),Hemiplegic cerebral palsy,disorder
43491000,Acute epididymitis (disorder),Acute epididymitis,disorder
43492007,Streptococcus agalactiae (organism),Streptococcus agalactiae,organism
43498006,Body fluid retention (finding),Body fluid retention,finding
43520008,"Operation of a therapeutic device, function (observable entity)","Operation of a therapeutic device, function",observable entity
43526002,Operative site (morphologic abnormality),Operative site,morphologic abnormality
43538006,Non radiopaque medium (substance),Non radiopaque medium,substance
43548008,Mittelschmerz (finding),Mittelschmerz,finding
43549000,Solochrome azurine (BS) stain (substance),Solochrome azurine (BS) stain,substance
43577009,Vegetable exchange list (finding),Vegetable exchange list,finding
43608005,Australian Aborigines (ethnic group),Australian Aborigines,ethnic group
43612004,Shigella dysenteriae (organism),Shigella dysenteriae,organism
43614003,Autistic disorder of childhood onset (disorder),Autistic disorder of childhood onset,disorder
43622005,Structure of deciduous maxillary left lateral incisor tooth (body structure),Structure of deciduous maxillary left lateral incisor tooth,body structure
43650005,Decreased cardiac function (finding),Decreased cardiac function,finding
43664005,Normal weight (finding),Normal weight,finding
43674008,Apical (qualifier value),Apical,qualifier value
43724002,Chill (finding),Chill,finding
43735007,Sulfur (substance),Sulfur,substance
43752006,Inflammation of small intestine and colon (disorder),Inflammation of small intestine and colon,disorder
43756009,Traumatic rupture of spleen (disorder),Traumatic rupture of spleen,disorder
43769008,Mild mixed bipolar I disorder (disorder),Mild mixed bipolar I disorder,disorder
43783005,Moderate drinker (finding),Moderate drinker,finding
43797002,Stricture of bile duct (disorder),Stricture of bile duct,disorder
43799004,Thoracic cavity structure (body structure),Thoracic cavity structure,body structure
43815004,"Implantation of cochlear prosthetic device, single channel (procedure)","Implantation of cochlear prosthetic device, single channel",procedure
43829003,Chronic osteoarthritis (disorder),Chronic osteoarthritis,disorder
43854003,Abnormal retraction of eyelid (disorder),Abnormal retraction of eyelid,disorder
43863001,Structure of superior left pulmonary vein (body structure),Structure of superior left pulmonary vein,body structure
43878008,Streptococcal sore throat (disorder),Streptococcal sore throat,disorder
43890005,Dieguenos (ethnic group),Dieguenos,ethnic group
43899006,Structure of popliteal artery (body structure),Structure of popliteal artery,body structure
43902009,"Hard vocal attack, function (observable entity)","Hard vocal attack, function",observable entity
43914001,Laryngeal voice function (observable entity),Laryngeal voice function,observable entity
43935004,Vascular ectasia of gastric antrum (disorder),Vascular ectasia of gastric antrum,disorder
43939005,Autopsy service by diener (procedure),Autopsy service by diener,procedure
43941006,"Pseudohypoaldosteronism, type 1 (disorder)","Pseudohypoaldosteronism, type 1",disorder
43959009,Cataract of eye due to diabetes mellitus (disorder),Cataract of eye due to diabetes mellitus,disorder
43967001,Entire anterior cardiac vein (body structure),Entire anterior cardiac vein,body structure
43982006,Solar degeneration (disorder),Solar degeneration,disorder
43993008,Bone structure of twelfth rib (body structure),Bone structure of twelfth rib,body structure
43994002,Behavior showing reduced motor activity (finding),Behavior showing reduced motor activity,finding
44001008,Premature ejaculation (finding),Premature ejaculation,finding
44018007,Cholestatic jaundice syndrome (disorder),Cholestatic jaundice syndrome,disorder
44027008,Seafood (substance),Seafood,substance
44054006,Diabetes mellitus type 2 (disorder),Diabetes mellitus type 2,disorder
44057004,Conductive hearing loss (disorder),Conductive hearing loss,disorder
44062003,Early menarche (finding),Early menarche,finding
44077006,Numbness (finding),Numbness,finding
44081006,Kuru agent (organism),Kuru agent,organism
44103008,Ventricular arrhythmia (disorder),Ventricular arrhythmia,disorder
44106000,Treponema pallidum ss. endemicum (organism),Treponema pallidum ss. endemicum,organism
44119001,Anastomosis of small intestine to small intestine (procedure),Anastomosis of small intestine to small intestine,procedure
44132006,Abscess (morphologic abnormality),Abscess,morphologic abnormality
44166002,Radical excision of skin lesion (procedure),Radical excision of skin lesion,procedure
44169009,Loss of sense of smell (finding),Loss of sense of smell,finding
44172002,Human poliovirus (organism),Human poliovirus,organism
44186003,Dyssomnia (disorder),Dyssomnia,disorder
44188002,Fall in shower (event),Fall in shower,event
